,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
43,CHEMBL4781373,CCCS(=O)(=O)Nc1cc(-c2cc(-c3ccc(N4CCNCC4)cc3)cnc2N)cc(OC)c1OC,active,511.64800000000037,3.5763000000000016,3.0,8.0,9.0
44,CHEMBL4788375,CCCS(=O)(=O)Nc1cc(-c2cc(-c3ccc(N4CCNCC4)cc3)cnc2N)cc(C)c1OC,active,495.64900000000034,3.876120000000002,3.0,7.0,6.889410289700751
45,CHEMBL4789724,CCCS(=O)(=O)Nc1cc(-c2cc(-c3ccc(N4CCNCC4)cc3)cnc2N)cc(F)c1OC,active,499.6120000000003,3.706800000000002,3.0,7.0,7.585026652029182
46,CHEMBL4793153,CCCS(=O)(=O)Nc1cc(-c2cc(-c3ccc(N4CCNCC4)cc3)cnc2N)cc(Cl)c1OC,active,516.0670000000003,4.2211000000000025,3.0,7.0,7.337242168318426
47,CHEMBL4781201,COc1cc(-c2cc(-c3ccc(N4CCNCC4)cc3)cnc2N)cc(F)c1OC,active,408.4770000000001,3.5637000000000016,2.0,6.0,6.22548303427145
48,CHEMBL4782505,CCCS(=O)(=O)Nc1cc(-c2cncc(-c3ccc(N4CCNCC4)cc3)c2)cc(F)c1OC,active,484.59700000000026,4.124600000000004,2.0,6.0,6.453457336521869
49,CHEMBL4799077,CCCS(=O)(=O)Nc1cc(-c2cc(-c3cccc(N4CCNCC4)c3)cnc2N)cc(F)c1OC,active,499.6120000000003,3.706800000000002,3.0,7.0,7.795880017344075
50,CHEMBL4784208,CCCCOC(=O)CC1c2cccc(C)c2S(=O)(=O)N1C(=O)c1cccc(C(F)(F)F)c1,active,469.48100000000017,4.633020000000005,0.0,5.0,6.031517051446065
51,CHEMBL4792557,CCCCOC(=O)CC1c2cccc(C)c2S(=O)(=O)N1C(=O)c1ccccc1C(F)(F)F,active,469.48100000000017,4.633020000000005,0.0,5.0,6.318758762624412
52,CHEMBL49120,CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,active,512.4410000000004,5.766500000000005,1.0,7.0,7.431798275933005
